DateTime,Entries,UniqueIPs
1537342369,5,5
1537346069,6,6
1537351728,5,5
1537355550,6,6
1537359430,5,5
1537365154,6,6
1537374987,7,7
1537376909,6,6
1537398117,7,7
1537415340,6,6
1537424903,7,7
1537428754,6,6
1537432832,5,5
1537436666,6,6
1537438595,7,7
1537442446,6,6
1537444369,7,7
1537452090,6,6
1537461647,5,5
1537482755,4,4
1537509683,5,5
1537511553,4,4
1537523343,3,3
1537525246,2,2
1537529089,1,1
1537546610,2,2
1537592170,3,3
1537596322,2,2
1537630826,3,3
1537632783,2,2
1537676906,1,1
1537711470,2,2
1537713402,3,3
1537717223,2,2
1537780824,3,3
1537788495,4,4
1537790500,5,5
1537798130,3,3
1537829303,4,4
1537846578,5,5
1537860043,6,6
1537865780,5,5
1537867716,6,6
1537875640,4,4
1537914520,3,3
1537924134,4,4
1537931801,3,3
1537945291,2,2
1537952932,1,1
1537956767,2,2
1538005709,3,3
1538011463,2,2
1538042502,1,1
1538044466,2,2
1538090912,1,1
1538099094,2,2
1538124523,3,3
1538130267,3,3
1538143715,4,4
1538184495,3,3
1538211395,2,2
1538215335,1,1
1538226995,0,0
1538328027,1,1
1538331871,2,2
1538382023,3,3
1538414919,2,2
1538418765,1,1
1538430522,2,2
1538469406,1,1
1538480934,2,2
1538486894,3,3
1538517878,2,2
1538568346,1,1
1538572342,0,0
1538611481,1,1
1538625139,2,2
1538652521,4,4
1538658531,5,5
1538684445,6,6
1538697929,5,5
1538711553,4,4
1538738669,2,2
1538744502,1,1
1538750428,2,2
1538771806,1,1
1538808769,2,2
1538835878,1,1
1538894429,0,0
1538915557,1,1
1538960479,2,2
1539003145,1,1
1539018740,2,2
1539048307,1,1
1539061729,2,2
1539095553,3,3
1539105391,2,2
1539109240,3,3
1539139971,4,4
1539147689,3,3
1539149567,4,4
1539159170,5,5
1539180514,4,4
1539196377,3,3
1539219681,4,4
1539221588,5,5
1539227302,4,4
1539237036,3,3
1539246520,2,2
1539258024,3,3
1539283461,4,4
1539304589,3,3
1539306527,2,2
1539321885,3,3
1539345391,2,2
1539361245,3,3
1539368910,2,2
1539380430,3,3
1539408039,2,2
1539448608,1,1
1539465879,0,0
1539526604,1,1
1539611319,0,0
1539620672,1,1
1539686413,2,2
1539708282,1,1
1539755061,2,2
1539772606,1,1
1539839067,0,0
1539861873,1,1
1539929817,2,2
1539931727,3,3
1539949215,2,2
1539972988,3,3
1539974916,4,4
1539978741,5,5
1540017193,4,4
1540019092,3,3
1540047884,4,4
1540059397,3,3
1540061314,2,2
1540065177,1,1
1540078599,2,2
1540101717,3,3
1540133064,2,2
1540134864,3,3
1540164276,3,3
1540170098,4,4
1540189705,3,3
1540195490,4,4
1540205059,5,5
1540223074,4,4
1540228837,6,6
1540250188,5,5
1540255957,4,4
1540273247,5,5
1540281516,4,4
1540289330,5,5
1540291223,4,4
1540308529,5,5
1540314529,4,4
1540316439,3,3
1540347416,4,4
1540358941,3,3
1540375015,2,2
1540383234,4,4
1540394906,3,3
1540414106,4,4
1540433803,3,3
1540469340,2,2
1540471243,2,2
1540500999,1,1
1540506752,2,2
1540512988,3,3
1540558360,2,2
1540572295,3,3
1540593862,2,2
1540600117,1,1
1540607814,2,2
1540641147,3,3
1540656573,4,4
1540658676,3,3
1540686291,4,4
1540694424,3,3
1540727557,2,2
1540742951,1,1
1540752767,2,2
1540774352,1,1
1540835580,0,0
1540849230,1,1
1540934935,0,0
1540940686,1,1
1540942591,2,2
1540963716,3,3
1540979303,4,4
1540989008,5,5
1541002613,6,6
1541026626,783,783
1541028525,1875,1875
1541030476,3618,3618
1541032347,6336,6336
1541038154,6337,6337
1541043884,6338,6338
1541077713,6339,6339
1541087323,6340,6340
1541111547,6258,6258
1541113496,5338,5338
1541115382,4113,4113
1541117339,1976,1976
1541119253,4,4
1541125238,3,3
1541131000,2,2
1541164853,2,2
1541174984,2,2
1541178785,3,3
1541251009,2,2
1541260604,1,1
1541262497,0,0
1541292021,1,1
1541322995,2,2
1541379148,1,1
1541406763,0,0
1541456671,1,1
1541524593,2,2
1541537341,3,3
1541543313,2,2
1541588494,883,883
1541590352,2194,2194
1541592294,4506,4506
1541594195,6348,6348
1541600108,6349,6349
1541623492,6350,6350
1541625423,6351,6351
1541635322,6352,6352
1541650581,6353,6353
1541660211,6354,6354
1541664086,6355,6355
1541669774,6356,6356
1541673907,5987,5987
1541676045,4735,4735
1541677967,2984,2984
1541679890,9,9
1541682095,10,10
1541687795,9,9
1541689705,10,10
1541701471,11,11
1541703380,13,13
1541709147,12,12
1541711115,14,14
1541713004,13,13
1541722820,12,12
1541736291,11,11
1541748040,10,10
1541749937,9,9
1541755939,8,8
1541767967,6,6
1541773695,7,7
1541775649,6,6
1541779469,7,7
1541785482,8,8
1541787387,7,7
1541790127,5,5
1541797953,3,3
1541838032,4,4
1541849812,5,5
1541857479,6,6
1541861330,5,5
1541865400,4,4
1541871148,4,4
1541886778,5,5
1541911944,6,6
1541923958,5,5
1541937396,4,4
1541943156,3,3
1541955149,4,4
1541959288,3,3
1541972922,2,2
1541988996,3,3
1541998899,2,2
1542033389,3,3
1542042988,2,2
1542050704,3,3
1542074509,2,2
1542080209,3,3
1542091941,4,4
1542119299,3,3
1542123145,4,4
1542135134,5,5
1542137074,4,4
1542148594,5,5
1542160335,6,6
1542166347,5,5
1542174042,7,7
1542177864,6,6
1542181702,7,7
1542187978,8,8
1542189856,10,10
1542197806,11,11
1542209301,12,12
1542217485,13,13
1542219394,14,14
1542221559,14,14
1542225372,15,15
1542233336,18,18
1542235471,17,17
1542239798,18,18
1542243639,19,19
1542247486,18,18
1542255623,19,19
1542259477,17,17
1542261382,18,18
1542263326,19,19
1542269100,18,18
1542275068,16,16
1542277043,15,15
1542284676,14,14
1542296460,12,12
1542298658,13,13
1542305085,11,11
1542306985,10,10
1542310847,9,9
1542318767,7,7
1542320903,6,6
1542323089,7,7
1542326920,6,6
1542330773,5,5
1542340344,6,6
1542342264,5,5
1542346362,4,4
1542350180,3,3
1542359802,4,4
1542385132,3,3
1542408505,2,2
1542412381,3,3
1542425808,2,2
1542429623,3,3
1542439224,4,4
1542446898,3,3
1542497573,2,2
1542516762,1,1
1542523008,0,0
1542535707,1,1
1542539531,2,2
1542586101,3,3
1542622587,2,2
1542624514,1,1
1542638198,2,2
1542655958,3,3
1542673303,2,2
1542680949,3,3
1542702263,4,4
1542723627,5,5
1542725532,4,4
1542727454,5,5
1542743295,4,4
1542759167,5,5
1542768753,4,4
1542790160,4,4
1542799716,5,5
1542808342,4,4
1542814113,3,3
1542816061,4,4
1542831893,5,5
1542833781,6,6
1542839547,7,7
1542845569,6,6
1542864759,7,7
1542874586,8,8
1542876501,7,7
1542880363,8,8
1542886355,7,7
1542888281,8,8
1542894021,9,9
1542901942,9,9
1542919459,8,8
1542925222,7,7
1542930993,8,8
1542944677,9,9
1542950669,8,8
1542960552,7,7
1542968184,6,6
1542973941,5,5
1542979704,4,4
1542982604,5,5
1542988594,4,4
1542990512,5,5
1543005883,4,4
1543017864,3,3
1543021731,4,4
1543029417,5,5
1543031319,4,4
1543044873,5,5
1543060915,6,6
1543068749,5,5
1543076421,4,4
1543103547,5,5
1543109317,4,4
1543117223,3,3
1543132581,2,2
1543148195,1,1
1543188041,0,0
1543254013,1,1
1543290975,2,2
1543298679,3,3
1543341396,2,2
1543362980,3,3
1543376897,2,2
1543384873,1,1
1543429957,2,2
1543446308,3,3
1543450112,2,2
1543496927,3,3
1543502663,4,4
1543504586,5,5
1543516351,4,4
1543529793,5,5
1543531707,4,4
1543537688,5,5
1543556902,6,6
1543577305,7,7
1543583076,6,6
1543588820,7,7
1543590771,6,6
1543594586,7,7
1543615978,6,6
1543623864,5,5
1543635658,6,6
1543643306,5,5
1543649071,6,6
1543662535,6,6
1543674279,4,4
1543681956,3,3
1543701159,4,4
1543718433,5,5
1543722274,4,4
1543726133,5,5
1543735730,4,4
1543749163,3,3
1543761150,5,5
1543788745,5,5
1543804365,4,4
1543812271,5,5
1543827877,7,7
1543835799,8,8
1543847806,6,6
1543861484,7,7
1543865680,8,8
1543870355,9,9
1543876363,8,8
1543880922,10,10
1543898693,8,8
1543910182,9,9
1543914124,7,7
1543921971,6,6
1543936373,7,7
1543946213,6,6
1543952228,6,6
1543956157,5,5
1543960359,6,6
1543962265,10,10
1543966378,9,9
1543968306,8,8
1543972350,9,9
1543984124,10,10
1543993729,11,11
1543995633,12,12
1543997579,11,11
1544001890,12,12
1544005739,14,14
1544017722,15,15
1544021558,16,16
1544023598,15,15
1544025398,17,17
1544027564,18,18
1544039771,17,17
1544041971,20,20
1544047962,15,15
1544055876,16,16
1544059969,15,15
1544065742,16,16
1544071713,15,15
1544079887,14,14
1544082044,13,13
1544087808,12,12
1544091655,11,11
1544103150,10,10
1544108939,9,9
1544110836,8,8
1544114687,7,7
1544118523,8,8
1544128591,5,5
1544142761,4,4
1544146609,5,5
1544152377,4,4
1544172291,70,70
1544174211,913,913
1544176122,2293,2293
1544178049,4417,4417
1544179940,6506,6506
1544181865,6507,6507
